SubtitleForge v2 翻译结果
风格: anime
========================================

[1] 0.7s-1.6s
    日文: おはよう
    中文: 早啊

[2] 2.8s-9.7s
    日文: よく眠れた? それ?
    中文: 睡得好吗？嗯？

[3] 11.3s-16.4s
    日文: 悪いこの君を繋いでおくためのくさりだよ そう
    中文: 这是为了绑住你这个坏孩子而准备的锁链哦，没错。

[4] 17.4s-19.3s
    日文: 君は私に閉じた
    中文: 你对我封闭了心呢，

[5] 20.0s-21.7s
    日文: 嘘をついたからね
    中文: 因为你说谎了嘛。

[6] 23.2s-25.2s
    日文: しばられるのは当然でしょ
    中文: 被绑起来不是理当然的吗？

[7] 29.1s-30.5s
    日文: 本当に覚えてないの
    中文: 你真的不记得了？

[8] 31.9s-33.6s
    日文: 自分の言ったこと
    中文: 自己说过的话？

[9] 35.7s-37.1s
    日文: あの時言ったよね
    中文: 那时候说过的吧？

[10] 38.5s-39.7s
    日文: この人はいない?
    中文: 「这个人不存在」？

[11] 40.8s-43.6s
    日文: 今はどれどもつき合いしてないと
    中文: 现在明明说没在跟任何人交往

[12] 47.3s-48.5s
    日文: なのに君は
    中文: 可你却

[13] 49.8s-51.2s
    日文: 私に関れた
    中文: 碰了我

[14] 52.4s-54.8s
    日文: 別の女と交差していた
    中文: 还和别的女人有交集

[15] 57.1s-60.3s
    日文: 倒って許されることじゃないよね
    中文: 这种事不可原谅吧

[16] 61.5s-62.4s
    日文: むしろ
    中文: 倒不如说

[17] 63.1s-70.0s
    日文: こうしてしばってるだけなことに関差してほしいから 私とは
    中文: 我宁愿你只参与这种被束缚的关系 和我间

[18] 70.9s-72.9s
    日文: ただの友達でいたかった
    中文: 只想做普通朋友

[19] 74.5s-75.7s
    日文: 何され
    中文: 你对我做了什么？

[20] 76.2s-77.3s
    日文: 情談でしょ
    中文: 开玩笑的吧

[21] 79.2s-82.0s
    日文: 私の気持ちを知っておきながら そのイーグさん
    中文: 明明知道我的心意，却还那样，伊格先生

[22] 82.7s-83.5s
    日文: 正直
    中文: 说实话

[23] 84.0s-85.5s
    日文: 信じられないんだけど
    中文: 真是难以置信啊

[24] 87.8s-88.8s
    日文: 大好きだったのに
    中文: 明明曾经最喜欢你了

[25] 90.6s-92.5s
    日文: 本当に好きだったのに
    中文: 明明是真的很喜欢你

[26] 94.1s-96.2s
    日文: 君には私しかいないと思ってた
    中文: 我以为你只有我

[27] 97.2s-100.3s
    日文: 私だけが 君にふさわしいと思ってた
    中文: 我以为只有我才配得上你

[28] 101.8s-103.2s
    日文: それののに君は
    中文: 可你却

[29] 104.0s-105.1s
    日文: 私を裏切ったの
    中文: 背叛了我

[30] 106.9s-108.9s
    日文: 恋だって明確に伝えたよね
    中文: 我明明明确地告诉过你『我喜欢你』，对吧

[31] 110.6s-112.2s
    日文: 一人の男性だした
    中文: 你居然有了别的男人

[32] 113.0s-114.6s
    日文: 君のことが好きだった
    中文: 我喜欢你啊

[33] 116.9s-118.5s
    日文: 私の気持ちを知った上で
    中文: 在知道我的心意后

[34] 119.5s-125.2s
    日文: そういうことするんだ 許せのさすぎず
    中文: 你还做这种事，不可原谅

